
d:[43,43,1410,395,40,35,178,false,3] S:[,43,RIGHT] ->:[,43,220,0]
d:[43,43,1440,407,28,35,190,false,3] S:[,43,RIGHT] ->:[,43,190,0]
d:[43,43,1470,419,16,35,202,false,3] S:[,43,RIGHT] ->:[,43,160,0]
d:[46,46,1630,535,112,59,166,true,3] S:[,46,RIGHT] ->:[,46,70,0]
d:[47,47,1630,547,100,61,149,true,3] S:[,47,RIGHT] ->:[,47,130,0]
d:[47,47,1630,599,112,82,10,true,3] S:[,47,UP] ->:[,47,130,0]
d:[47,47,1700,627,108,72,98,true,3] S:[,47,UP] ->:[,47,60,0]
d:[51,51,1770,982,28,2147483647,-1,false,1] S:[,51,UP] ->:[,51,120,0]
d:[51,51,1830,1006,36,2147483647,-1,false,1] S:[,51,RIGHT] ->:[,51,90,0]
d:[51,51,1860,1018,24,90,498,false,1] S:[,51,UP] ->:[,51,120,0]
d:[51,51,1890,1030,36,90,486,false,1] S:[,51,UP] ->:[,51,120,0]
d:[52,52,1920,1042,48,67,474,false,1] S:[,52,UP] ->:[,52,120,0]
d:[53,53,1980,1066,72,34,506,false,1] S:[,53,RIGHT] ->:[,53,60,0]
d:[54,54,20,5,36,2147483647,-1,false,3] S:[,54,UP] ->:[,54,260,0]
d:[55,55,50,17,24,2147483647,-1,false,3] S:[,55,UP] ->:[,55,250,0]
d:[56,56,220,69,88,112,512,true,3] S:[,56,UP] ->:[,56,80,0]
d:[58,58,300,105,92,58,530,true,3] S:[,58,UP] ->:[,58,280,0]
d:[59,59,300,117,80,40,536,true,3] S:[,59,UP] ->:[,59,310,0]
d:[60,60,320,129,68,22,548,true,3] S:[,60,UP] ->:[,60,300,0]
d:[60,60,580,153,44,56,790,false,3] S:[,60,RIGHT] ->:[,60,80,0]
d:[61,61,610,165,32,60,673,false,3] S:[,61,RIGHT] ->:[,61,80,0]
d:[62,62,620,190,32,45,489,false,3] S:[,62,RIGHT] ->:[,62,100,0]
d:[63,63,660,206,16,45,473,false,3] S:[,63,RIGHT] ->:[,63,90,0]
d:[64,64,690,218,28,45,461,false,3] S:[,64,RIGHT] ->:[,64,90,0]
d:[65,65,720,230,40,59,565,false,3] S:[,65,RIGHT] ->:[,65,90,0]
d:[66,66,750,242,52,60,70,false,3] S:[,66,RIGHT] ->:[,66,90,0]
d:[67,67,780,254,52,36,58,false,3] S:[,67,RIGHT] ->:[,67,230,0]
d:[68,68,810,266,40,12,225,false,3] S:[,68,RIGHT] ->:[,68,220,0]
d:[69,69,840,278,28,12,316,false,3] S:[,69,UP] ->:[,69,190,0]
d:[70,70,1010,330,73,50,376,true,3] S:[,70,UP] ->:[,70,220,0]
d:[71,71,1030,342,85,32,382,true,3] S:[,71,UP] ->:[,71,200,0]
d:[72,72,1030,394,73,18,280,true,3] S:[,72,RIGHT] ->:[,72,200,0]
d:[76,76,1230,506,52,84,655,false,3] S:[,76,RIGHT] ->:[,76,160,0]
d:[76,76,1230,518,40,84,794,false,3] S:[,76,RIGHT] ->:[,76,160,0]
d:[76,76,1230,530,28,84,912,false,3] S:[,76,UP] ->:[,76,160,0]
d:[79,79,1390,910,137,117,1178,false,3] S:[,79,RIGHT] ->:[,79,70,0]
d:[79,79,1390,922,125,93,1082,false,3] S:[,79,RIGHT] ->:[,79,130,0]
d:[79,79,1390,974,137,123,985,false,3] S:[,79,UP] ->:[,79,130,0]
d:[79,79,1460,1002,133,85,995,false,3] S:[,79,RIGHT] ->:[,79,60,0]
d:[83,83,1520,1418,133,100,956,false,3] S:[,83,RIGHT] ->:[,83,140,0]
d:[83,83,1520,1446,148,123,1009,false,3] S:[,83,UP] ->:[,83,140,0]
d:[83,83,1520,1458,149,123,997,false,3] S:[,83,UP] ->:[,83,140,0]
d:[54,54,60,22,52,2147483647,-1,false,3] S:[,54,RIGHT] ->:[,54,170,0]
d:[55,55,90,34,40,2147483647,-1,false,3] S:[,55,RIGHT] ->:[,55,300,0]
d:[56,56,200,126,28,48,524,false,3] S:[,56,RIGHT] ->:[,56,190,0]
d:[57,57,230,138,16,32,536,false,3] S:[,57,RIGHT] ->:[,57,160,0]
d:[60,60,390,254,85,64,122,true,3] S:[,60,RIGHT] ->:[,60,70,0]
d:[61,61,390,266,73,71,253,true,3] S:[,61,DOWN] ->:[,61,130,0]
d:[61,61,430,282,57,63,86,true,3] S:[,61,UP] ->:[,61,120,0]
